property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,bestech park view sanskruti,sector 92,1.68,11053.0,1520.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1520 sq.ft. (141.21 sq.m.),3,4,3+,15.0,East,Relatively New,2120.0,,1520.0,0,0,0,1,0,0,174
flat,godrej oasis,sector 88a,1.19,10162.0,1171.0,Super Built up area 1628(151.25 sq.m.)Carpet area: 1171 sq.ft. (108.79 sq.m.),2,2,3,15.0,South-East,Relatively New,1628.0,,1171.0,0,0,1,0,1,0,174
flat,hsiidc sidco aravali,manesar,0.9,3648.0,2467.0,Super Built up area 2467(229.19 sq.m.),4,4,3,7.0,not available,Moderately Old,2467.0,,,0,0,0,0,0,1,0
flat,raheja teachers apartments,sector 31,1.2,7273.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3,2,2,1.0,East,Moderately Old,1650.0,1450.0,1150.0,1,0,0,0,0,2,105
flat,assotech blith,sector 99,1.9,6702.0,2835.0,Built Up area: 2835 (263.38 sq.m.),4,4,3+,2.0,North-East,Undefined,,2835.0,,0,0,0,0,0,1,51
flat,smart world orchard,sector 61,2.2,13497.0,1630.0,Carpet area: 1600 (148.64 sq.m.),3,3,2,1.0,North-East,Undefined,,,1600.0,0,0,0,0,0,0,49
flat,godrej,sector 79,2.5,11141.0,2244.0,Built Up area: 2244 (208.47 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,5.0,not available,Undefined,,2244.0,1800.0,0,0,0,0,0,1,0
house,shivaji nagar residential,sector 11,3.08,11400.0,2701.7389,Built Up area: 2700 (250.84 sq.m.),6,4,2,1.0,not available,Undefined,,2700.0,,0,0,0,0,0,1,0
flat,bptp terra,sector 37d,1.6,7303.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,7.0,North,Relatively New,2191.0,2000.0,1800.0,1,0,0,0,0,0,139
flat,s aradhya homes,sector 67a,1.9,8862.0,2144.0,Super Built up area 2200(204.39 sq.m.),4,4,3,3.0,not available,New Property,2200.0,,,0,0,0,0,0,0,62
